Processed DateTime,Device Make,Aperture (f/_),ISO,Image Width,File Path,Filename,File Size,Focal Length (mm),Image DateTime,Device Model,Image Format,Image Mode,Megapixels,Image Height,Shutter Speed,Image Size
2020-10-27 14:37:22.931043,RaspberryPi,2.0,50,2560,/home/pi/picamera/output/2020-10-27 11:21:54 colorpoint.jpg,2020-10-27 11:21:54 colorpoint.jpg,3129046,3.039,2020-10-27 11:21:54,RP_imx219,JPEG,RGB,4.9,1920,0.001352,"(2560, 1920)"
2020-10-27 14:37:22.931043,RaspberryPi,2.0,50,1280,/home/pi/picamera/output/2020-10-09 11:09:40 watercolor.jpg,2020-10-09 11:09:40 watercolor.jpg,1256450,3.039,2020-10-09 11:09:40,RP_imx219,JPEG,RGB,1.2,960,0.001163,"(1280, 960)"
2020-10-27 14:37:22.931043,RaspberryPi,2.0,50,2560,/home/pi/picamera/output/2020-10-27 11:32:43 oilpaint.jpg,2020-10-27 11:32:43 oilpaint.jpg,3242693,3.039,2020-10-27 11:32:43,RP_imx219,JPEG,RGB,4.9,1920,0.001257,"(2560, 1920)"
2020-10-27 14:37:22.931043,RaspberryPi,2.0,50,2560,/home/pi/picamera/output/2020-10-27 11:21:46 emboss.jpg,2020-10-27 11:21:46 emboss.jpg,3989990,3.039,2020-10-27 11:21:46,RP_imx219,JPEG,RGB,4.9,1920,0.001352,"(2560, 1920)"
2020-10-27 14:37:22.931043,RaspberryPi,2.0,50,2560,/home/pi/picamera/output/2020-10-27 10:40:42 sketch.jpg,2020-10-27 10:40:42 sketch.jpg,5942353,3.039,2020-10-27 10:40:42,RP_imx219,JPEG,RGB,4.9,1920,0.001957,"(2560, 1920)"
2020-10-27 14:37:22.931043,RaspberryPi,2.0,16,2560,/home/pi/picamera/output/2020-10-27 11:14:22 none.jpg,2020-10-27 11:14:22 none.jpg,2255016,3.039,2020-10-27 11:14:22,RP_imx219,JPEG,RGB,4.9,1920,0.012127,"(2560, 1920)"
2020-10-27 14:37:22.931043,RaspberryPi,2.0,64,2560,/home/pi/picamera/output/2020-10-27 14:33:26 none.jpg,2020-10-27 14:33:26 none.jpg,3010867,3.039,2020-10-27 14:33:26,RP_imx219,JPEG,RGB,4.9,1920,0.000444,"(2560, 1920)"
2020-10-27 14:37:22.931043,RaspberryPi,2.0,50,2560,/home/pi/picamera/output/2020-10-27 11:18:06 cartoon.jpg,2020-10-27 11:18:06 cartoon.jpg,2882209,3.039,2020-10-27 11:18:06,RP_imx219,JPEG,RGB,4.9,1920,0.00137,"(2560, 1920)"
2020-10-27 14:37:22.931043,RaspberryPi,2.0,50,2560,/home/pi/picamera/output/2020-10-27 11:46:52 solarize.jpg,2020-10-27 11:46:52 solarize.jpg,3323518,3.039,2020-10-27 11:46:52,RP_imx219,JPEG,RGB,4.9,1920,0.000709,"(2560, 1920)"
2020-10-27 14:37:22.931043,RaspberryPi,2.0,50,2560,/home/pi/picamera/output/2020-10-27 11:14:33 negative.jpg,2020-10-27 11:14:33 negative.jpg,3131952,3.039,2020-10-27 11:14:33,RP_imx219,JPEG,RGB,4.9,1920,0.00137,"(2560, 1920)"
